,submission_date,assignment code,outcome code,outcome year,course_id,semester,course,section,outcome score,outcome rating,college,compliance
39010,2022-04-14,441538,CF4,U1516,SP2022_PHIL3080_1U,SP2022,PHIL3080,1U,3.0,Exemplary,College of Theology & Christian Ministry,Outcome assessed
39010,2022-04-28,441519,CF4,U1516,SP2022_PHIL3080_1U,SP2022,PHIL3080,1U,3.0,Exemplary,College of Theology & Christian Ministry,Outcome assessed
40854,2022-05-01,441519,CF4,U1516,SP2022_PHIL3080_1U,SP2022,PHIL3080,1U,2.0,Target,College of Theology & Christian Ministry,Outcome assessed
40880,2022-04-25,441431,CF4,U1516,SP2022_PHIL3620_01,SP2022,PHIL3620,01,3.0,Exemplary,College of Theology & Christian Ministry,Outcome assessed
40890,2022-04-11,441538,CF4,U1516,SP2022_PHIL3080_1U,SP2022,PHIL3080,1U,2.0,Target,College of Theology & Christian Ministry,Outcome assessed
41063,2022-04-25,441431,CF4,U1516,SP2022_PHIL3620_01,SP2022,PHIL3620,01,1.0,Minimum,College of Theology & Christian Ministry,Outcome assessed
2402,2022-05-08,463000,H1,U1516,SP2022_HIST3480_1U,SP2022,HIST3480,1U,3.0,Exemplary,College of Arts and Humanites,Outcome assessed
18405,2022-05-08,463000,H1,U1516,SP2022_HIST3480_1U,SP2022,HIST3480,1U,-2.0,No Data Collected,College of Arts and Humanites,Outcome attached - no assessment
21459,2022-05-07,463000,H1,U1516,SP2022_HIST3480_1U,SP2022,HIST3480,1U,2.0,Target,College of Arts and Humanites,Outcome assessed
23716,2022-05-08,463000,H1,U1516,SP2022_HIST3480_1U,SP2022,HIST3480,1U,2.0,Target,College of Arts and Humanites,Outcome assessed
27465,2022-05-08,463000,H1,U1516,SP2022_HIST3480_1U,SP2022,HIST3480,1U,2.0,Target,College of Arts and Humanites,Outcome assessed
27561,2022-05-07,463000,H1,U1516,SP2022_HIST3480_1U,SP2022,HIST3480,1U,3.0,Exemplary,College of Arts and Humanites,Outcome assessed
27864,2022-05-01,463000,H1,U1516,SP2022_HIST3480_1U,SP2022,HIST3480,1U,3.0,Exemplary,College of Arts and Humanites,Outcome assessed
27959,2022-05-08,463000,H1,U1516,SP2022_HIST3480_1U,SP2022,HIST3480,1U,1.0,Minimum,College of Arts and Humanites,Outcome assessed
34684,2022-05-08,463000,H1,U1516,SP2022_HIST3480_1U,SP2022,HIST3480,1U,3.0,Exemplary,College of Arts and Humanites,Outcome assessed
34911,2022-05-08,463000,H1,U1516,SP2022_HIST3480_1U,SP2022,HIST3480,1U,-2.0,No Data Collected,College of Arts and Humanites,Outcome attached - no assessment
35174,2022-05-06,463000,H1,U1516,SP2022_HIST3480_1U,SP2022,HIST3480,1U,1.0,Minimum,College of Arts and Humanites,Outcome assessed
38945,2022-05-08,463000,H1,U1516,SP2022_HIST3480_1U,SP2022,HIST3480,1U,3.0,Exemplary,College of Arts and Humanites,Outcome assessed
39003,2022-05-04,463000,H1,U1516,SP2022_HIST3480_1U,SP2022,HIST3480,1U,3.0,Exemplary,College of Arts and Humanites,Outcome assessed
39040,2022-04-30,463000,H1,U1516,SP2022_HIST3480_1U,SP2022,HIST3480,1U,2.0,Target,College of Arts and Humanites,Outcome assessed
40616,2022-05-08,463000,H1,U1516,SP2022_HIST3480_1U,SP2022,HIST3480,1U,2.0,Target,College of Arts and Humanites,Outcome assessed
40709,2022-05-08,463000,H1,U1516,SP2022_HIST3480_1U,SP2022,HIST3480,1U,2.0,Target,College of Arts and Humanites,Outcome assessed
45741,2022-05-08,463000,H1,U1516,SP2022_HIST3480_1U,SP2022,HIST3480,1U,2.0,Target,College of Arts and Humanites,Outcome assessed
17755,2022-03-02,456838,H3,U1516,SP2022_EDUC2250_1L,SP2022,EDUC2250,1L,2.0,Target,College of Educaton,Outcome assessed
22908,2022-03-02,456838,H3,U1516,SP2022_EDUC2250_1L,SP2022,EDUC2250,1L,2.0,Target,College of Educaton,Outcome assessed
27736,2022-05-03,464352,H3,U1516,SP2022_EDUC2250_1U,SP2022,EDUC2250,1U,2.0,Target,College of Educaton,Outcome assessed
34375,2022-03-02,456838,H3,U1516,SP2022_EDUC2250_1L,SP2022,EDUC2250,1L,2.0,Target,College of Educaton,Outcome assessed
34386,2022-05-04,464352,H3,U1516,SP2022_EDUC2250_1U,SP2022,EDUC2250,1U,2.0,Target,College of Educaton,Outcome assessed
34615,2022-03-02,456838,H3,U1516,SP2022_EDUC2250_1L,SP2022,EDUC2250,1L,2.0,Target,College of Educaton,Outcome assessed
34664,2022-02-28,456838,H3,U1516,SP2022_EDUC2250_1L,SP2022,EDUC2250,1L,2.0,Target,College of Educaton,Outcome assessed
34856,2022-05-05,464352,H3,U1516,SP2022_EDUC2250_1U,SP2022,EDUC2250,1U,2.0,Target,College of Educaton,Outcome assessed
39331,2022-03-02,456838,H3,U1516,SP2022_EDUC2250_1L,SP2022,EDUC2250,1L,2.0,Target,College of Educaton,Outcome assessed
40940,2022-03-02,456838,H3,U1516,SP2022_EDUC2250_1L,SP2022,EDUC2250,1L,2.0,Target,College of Educaton,Outcome assessed
46468,2022-05-04,464352,H3,U1516,SP2022_EDUC2250_1U,SP2022,EDUC2250,1U,2.0,Target,College of Educaton,Outcome assessed
2402,2022-05-08,463000,H4,U1516,SP2022_HIST3480_1U,SP2022,HIST3480,1U,3.0,Exemplary,College of Arts and Humanites,Outcome assessed
16164,2022-05-06,441948,H4,U1516,SP2022_ENGL2410W_1U,SP2022,ENGL2410W,1U,3.0,Exemplary,College of Arts and Humanites,Outcome assessed
18405,2022-05-08,463000,H4,U1516,SP2022_HIST3480_1U,SP2022,HIST3480,1U,-2.0,No Data Collected,College of Arts and Humanites,Outcome attached - no assessment
19671,2022-05-07,441948,H4,U1516,SP2022_ENGL2410W_1U,SP2022,ENGL2410W,1U,2.0,Target,College of Arts and Humanites,Outcome assessed
21257,2022-05-06,441948,H4,U1516,SP2022_ENGL2410W_1U,SP2022,ENGL2410W,1U,2.0,Target,College of Arts and Humanites,Outcome assessed
21272,2022-05-04,441948,H4,U1516,SP2022_ENGL2410W_1U,SP2022,ENGL2410W,1U,-2.0,No Data Collected,College of Arts and Humanites,Outcome attached - no assessment
21459,2022-05-07,463000,H4,U1516,SP2022_HIST3480_1U,SP2022,HIST3480,1U,2.0,Target,College of Arts and Humanites,Outcome assessed
21464,2022-05-06,441948,H4,U1516,SP2022_ENGL2410W_1U,SP2022,ENGL2410W,1U,2.0,Target,College of Arts and Humanites,Outcome assessed
21487,2022-05-04,441948,H4,U1516,SP2022_ENGL2410W_1U,SP2022,ENGL2410W,1U,2.0,Target,College of Arts and Humanites,Outcome assessed
21608,2022-05-05,441948,H4,U1516,SP2022_ENGL2410W_1U,SP2022,ENGL2410W,1U,3.0,Exemplary,College of Arts and Humanites,Outcome assessed
21799,2022-05-07,441948,H4,U1516,SP2022_ENGL2410W_1U,SP2022,ENGL2410W,1U,3.0,Exemplary,College of Arts and Humanites,Outcome assessed
21869,2022-05-07,441948,H4,U1516,SP2022_ENGL2410W_1U,SP2022,ENGL2410W,1U,1.0,Minimum,College of Arts and Humanites,Outcome assessed
23716,2022-05-08,463000,H4,U1516,SP2022_HIST3480_1U,SP2022,HIST3480,1U,2.0,Target,College of Arts and Humanites,Outcome assessed
26172,2022-05-07,441948,H4,U1516,SP2022_ENGL2410W_1U,SP2022,ENGL2410W,1U,2.0,Target,College of Arts and Humanites,Outcome assessed
27465,2022-05-08,463000,H4,U1516,SP2022_HIST3480_1U,SP2022,HIST3480,1U,2.0,Target,College of Arts and Humanites,Outcome assessed
27526,2022-05-06,441948,H4,U1516,SP2022_ENGL2410W_1U,SP2022,ENGL2410W,1U,2.0,Target,College of Arts and Humanites,Outcome assessed
27561,2022-05-07,463000,H4,U1516,SP2022_HIST3480_1U,SP2022,HIST3480,1U,3.0,Exemplary,College of Arts and Humanites,Outcome assessed
27695,2022-05-07,441948,H4,U1516,SP2022_ENGL2410W_1U,SP2022,ENGL2410W,1U,3.0,Exemplary,College of Arts and Humanites,Outcome assessed
27864,2022-05-01,463000,H4,U1516,SP2022_HIST3480_1U,SP2022,HIST3480,1U,3.0,Exemplary,College of Arts and Humanites,Outcome assessed
27959,2022-05-08,463000,H4,U1516,SP2022_HIST3480_1U,SP2022,HIST3480,1U,1.0,Minimum,College of Arts and Humanites,Outcome assessed
34186,2022-05-06,441948,H4,U1516,SP2022_ENGL2410W_1U,SP2022,ENGL2410W,1U,3.0,Exemplary,College of Arts and Humanites,Outcome assessed
34439,2022-05-05,441948,H4,U1516,SP2022_ENGL2410W_1U,SP2022,ENGL2410W,1U,2.0,Target,College of Arts and Humanites,Outcome assessed
34684,2022-05-08,463000,H4,U1516,SP2022_HIST3480_1U,SP2022,HIST3480,1U,3.0,Exemplary,College of Arts and Humanites,Outcome assessed
34911,2022-05-08,463000,H4,U1516,SP2022_HIST3480_1U,SP2022,HIST3480,1U,-2.0,No Data Collected,College of Arts and Humanites,Outcome attached - no assessment
35047,2022-05-06,441948,H4,U1516,SP2022_ENGL2410W_1U,SP2022,ENGL2410W,1U,3.0,Exemplary,College of Arts and Humanites,Outcome assessed
35174,2022-05-06,463000,H4,U1516,SP2022_HIST3480_1U,SP2022,HIST3480,1U,1.0,Minimum,College of Arts and Humanites,Outcome assessed
38601,2022-05-05,441948,H4,U1516,SP2022_ENGL2410W_1U,SP2022,ENGL2410W,1U,2.0,Target,College of Arts and Humanites,Outcome assessed
38945,2022-05-08,463000,H4,U1516,SP2022_HIST3480_1U,SP2022,HIST3480,1U,3.0,Exemplary,College of Arts and Humanites,Outcome assessed
39003,2022-05-04,463000,H4,U1516,SP2022_HIST3480_1U,SP2022,HIST3480,1U,3.0,Exemplary,College of Arts and Humanites,Outcome assessed
39040,2022-04-30,463000,H4,U1516,SP2022_HIST3480_1U,SP2022,HIST3480,1U,2.0,Target,College of Arts and Humanites,Outcome assessed
40616,2022-05-08,463000,H4,U1516,SP2022_HIST3480_1U,SP2022,HIST3480,1U,2.0,Target,College of Arts and Humanites,Outcome assessed
40709,2022-05-08,463000,H4,U1516,SP2022_HIST3480_1U,SP2022,HIST3480,1U,2.0,Target,College of Arts and Humanites,Outcome assessed
41101,2022-05-06,441948,H4,U1516,SP2022_ENGL2410W_1U,SP2022,ENGL2410W,1U,2.0,Target,College of Arts and Humanites,Outcome assessed
45741,2022-05-08,463000,H4,U1516,SP2022_HIST3480_1U,SP2022,HIST3480,1U,2.0,Target,College of Arts and Humanites,Outcome assessed
2402,2022-05-08,463000,H5,U1516,SP2022_HIST3480_1U,SP2022,HIST3480,1U,3.0,Exemplary,College of Arts and Humanites,Outcome assessed
18405,2022-05-08,463000,H5,U1516,SP2022_HIST3480_1U,SP2022,HIST3480,1U,-2.0,No Data Collected,College of Arts and Humanites,Outcome attached - no assessment
21459,2022-05-07,463000,H5,U1516,SP2022_HIST3480_1U,SP2022,HIST3480,1U,2.0,Target,College of Arts and Humanites,Outcome assessed
23716,2022-05-08,463000,H5,U1516,SP2022_HIST3480_1U,SP2022,HIST3480,1U,2.0,Target,College of Arts and Humanites,Outcome assessed
27465,2022-05-08,463000,H5,U1516,SP2022_HIST3480_1U,SP2022,HIST3480,1U,2.0,Target,College of Arts and Humanites,Outcome assessed
27561,2022-05-07,463000,H5,U1516,SP2022_HIST3480_1U,SP2022,HIST3480,1U,3.0,Exemplary,College of Arts and Humanites,Outcome assessed
27864,2022-05-01,463000,H5,U1516,SP2022_HIST3480_1U,SP2022,HIST3480,1U,3.0,Exemplary,College of Arts and Humanites,Outcome assessed
27959,2022-05-08,463000,H5,U1516,SP2022_HIST3480_1U,SP2022,HIST3480,1U,1.0,Minimum,College of Arts and Humanites,Outcome assessed
34684,2022-05-08,463000,H5,U1516,SP2022_HIST3480_1U,SP2022,HIST3480,1U,3.0,Exemplary,College of Arts and Humanites,Outcome assessed
34911,2022-05-08,463000,H5,U1516,SP2022_HIST3480_1U,SP2022,HIST3480,1U,-2.0,No Data Collected,College of Arts and Humanites,Outcome attached - no assessment
35174,2022-05-06,463000,H5,U1516,SP2022_HIST3480_1U,SP2022,HIST3480,1U,1.0,Minimum,College of Arts and Humanites,Outcome assessed
